epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.0078125,917672,3.05272,4.62503,29,636
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,42,730
0.05,0.0078125,114856,27.5446,43.2043,27,636
0.02,0.00390625,1048768,2.72277,4.24943,32,688
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,48,812
0.05,0.00390625,131264,23.7627,38.1309,32,815
0.02,0.00195312,1179864,2.42465,3.72034,37,751
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,54,709
0.05,0.00195312,147672,27.7531,43.6296,33,589
0.02,0.000976562,1310960,1.92299,2.99991,41,619
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,57,731
0.05,0.000976562,164080,25.8966,41.1409,39,603
0.02,0.000488281,1442056,1.7819,2.77012,50,619
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,63,753
0.05,0.000488281,180488,20.9258,32.8288,45,617
0.02,0.000244141,1573152,1.89007,2.9578,51,642
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,69,825
0.05,0.000244141,196896,21.21,33.3089,49,668
0.02,0.00012207,1704248,1.99509,3.09582,58,660
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,73,799
0.05,0.00012207,213304,19.0841,29.974,55,725
0.02,6.10352e-05,1835344,1.49196,2.32273,64,714
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,77,825
0.05,6.10352e-05,229712,19.7867,30.8931,61,657
0.02,3.05176e-05,1966440,1.6558,2.54496,69,680
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,88,845
0.05,3.05176e-05,246120,17.5579,27.6119,64,656
0.02,1.52588e-05,2097536,1.65399,2.5357,74,693
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,87,851
0.05,1.52588e-05,262528,21.093,33.3822,72,658
0.02,7.62939e-06,2228632,1.67507,2.63281,91,688
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,108,875
0.05,7.62939e-06,278936,15.2154,24.1131,91,671
0.02,3.8147e-06,2359728,1.37462,2.16486,100,850
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,113,1066
0.05,3.8147e-06,295344,16.6427,26.5094,94,684
0.02,1.90735e-06,2490824,1.31496,2.04458,110,726
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,121,925
0.05,1.90735e-06,311752,15.0362,23.7647,100,687
0.02,0.25,262192,18.9103,28.7092,5,525
0.002,0.25,16777264,4.46836e-08,1.25114e-05,10,555
0.05,0.25,32816,111.996,174.444,5,530
0.02,0.125,393288,5.53907,8.39101,9,568
0.002,0.125,25165896,4.46836e-08,1.25114e-05,18,574
0.05,0.125,49224,48.3202,75.9846,9,589
0.02,0.0625,524384,4.95518,7.9635,12,559
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,29,600
0.05,0.0625,65632,46.0462,71.9082,12,550
0.02,0.03125,655480,3.53967,5.49884,16,570
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,24,609
0.05,0.03125,82040,25.5677,42.2244,15,550
0.02,0.015625,786576,3.95575,6.00148,20,572
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,33,700
0.05,0.015625,98448,31.4767,49.2211,20,608
0.02,0.0078125,917672,2.62788,4.03745,28,707
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,40,972
0.05,0.0078125,114856,24.4251,38.7329,27,661
0.02,0.00390625,1048768,3.53969,5.54134,31,637
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,47,722
0.05,0.00390625,131264,24.1743,38.1505,31,626
0.02,0.00195312,1179864,2.03531,3.21641,37,654
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,53,747
0.05,0.00195312,147672,22.333,35.2333,35,632
0.02,0.000976562,1310960,3.16719,4.93089,42,660
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,59,771
0.05,0.000976562,164080,25.3392,40.2972,38,637
0.02,0.000488281,1442056,1.84698,2.90052,49,681
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,66,802
0.05,0.000488281,180488,20.8971,32.9147,47,649
0.02,0.000244141,1573152,2.0178,3.24893,54,684
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,69,856
0.05,0.000244141,196896,17.0673,27.3574,53,645
0.02,0.00012207,1704248,1.64202,2.58313,61,707
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,76,839
0.05,0.00012207,213304,21.0807,33.0931,57,670
0.02,6.10352e-05,1835344,1.89128,3.03544,67,725
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,84,928
0.05,6.10352e-05,229712,19.3065,30.4071,63,680
0.02,3.05176e-05,1966440,1.6709,2.63369,72,766
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,87,914
0.05,3.05176e-05,246120,17.6263,27.7639,68,685
0.02,1.52588e-05,2097536,1.46279,2.27519,87,737
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,93,995
0.05,1.52588e-05,262528,14.7727,23.8674,76,708
0.02,7.62939e-06,2228632,1.42249,2.18507,99,730
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,112,932
0.05,7.62939e-06,278936,17.0249,26.7724,91,716
0.02,3.8147e-06,2359728,1.52709,2.40257,104,787
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,139,963
0.05,3.8147e-06,295344,16.7237,26.1767,97,711
0.02,1.90735e-06,2490824,1.41264,2.18198,117,993
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,175,1202
0.05,1.90735e-06,311752,16.3972,25.6903,126,838
0.02,0.25,262192,15.4389,31.285,8,904
0.002,0.25,16777264,4.46836e-08,1.25114e-05,12,664
0.05,0.25,32816,110.017,169.767,6,629
0.02,0.125,393288,4.69899,7.48781,11,761
