epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.05,0.0625,65632,50.217,78.5584,12,36
0.02,0.03125,655480,4.24983,6.57115,17,44
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,23,69
0.05,0.03125,82040,36.5043,57.3191,17,43
0.02,0.015625,786576,3.01712,4.57569,20,55
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,34,98
0.05,0.015625,98448,47.8717,75.328,20,51
0.02,0.0078125,917672,2.39138,3.76627,25,63
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,37,100
0.05,0.0078125,114856,29.62,46.5741,24,57
0.02,0.00390625,1048768,2.91507,4.61297,31,75
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,40,125
0.05,0.00390625,131264,26.4961,41.4196,27,64
0.02,0.00195312,1179864,1.89184,2.97305,34,97
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,43,139
0.05,0.00195312,147672,24.6025,38.4353,34,74
0.02,0.000976562,1310960,1.97862,3.1261,41,86
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,51,171
0.05,0.000976562,164080,23.4075,36.6917,37,79
0.02,0.000488281,1442056,1.97712,3.07923,43,98
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,57,181
0.05,0.000488281,180488,20.7454,33.1024,42,89
0.02,0.000244141,1573152,1.63297,2.55448,46,104
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,67,191
0.05,0.000244141,196896,20.2879,31.539,45,94
0.02,0.00012207,1704248,1.66947,2.63626,52,115
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,73,196
0.05,0.00012207,213304,18.6959,29.4709,50,99
0.02,6.10352e-05,1835344,1.94402,2.95263,57,125
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,74,206
0.05,6.10352e-05,229712,18.9085,29.6118,55,108
0.02,3.05176e-05,1966440,1.57723,2.42754,63,134
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,78,221
0.05,3.05176e-05,246120,16.842,26.5991,62,116
0.02,1.52588e-05,2097536,1.41332,2.2732,67,136
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,80,258
0.05,1.52588e-05,262528,18.3581,28.7547,67,123
0.02,7.62939e-06,2228632,1.56696,2.46262,86,147
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,95,282
0.05,7.62939e-06,278936,16.6276,26.2999,81,129
0.02,3.8147e-06,2359728,1.3733,2.09626,100,183
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,105,308
0.05,3.8147e-06,295344,17.1821,27.0993,86,134
0.02,1.90735e-06,2490824,1.70259,2.64976,96,168
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,109,299
0.05,1.90735e-06,311752,15.2432,24.0401,99,146
0.02,0.25,262192,9.61485,20.557,6,22
0.002,0.25,16777264,4.46836e-08,1.25114e-05,10,31
0.05,0.25,32816,123.427,195.221,7,22
0.02,0.125,393288,12.967,23.3732,9,31
0.002,0.125,25165896,4.46836e-08,1.25114e-05,17,49
0.05,0.125,49224,51.131,80.18,9,31
0.02,0.0625,524384,4.90841,7.74354,11,38
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,20,60
0.05,0.0625,65632,52.148,81.3117,13,38
0.02,0.03125,655480,4.20602,6.42696,15,47
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,76
0.05,0.03125,82040,38.86,60.5785,17,45
0.02,0.015625,786576,5.02497,8.14591,19,54
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,35,84
0.05,0.015625,98448,38.3842,60.8433,20,51
0.02,0.0078125,917672,2.71649,4.13098,27,63
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,41,108
0.05,0.0078125,114856,23.641,37.615,24,59
0.02,0.00390625,1048768,3.36043,5.08579,32,71
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,45,128
0.05,0.00390625,131264,27.8635,43.6775,30,65
0.02,0.00195312,1179864,2.49757,3.89849,35,78
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,48,150
0.05,0.00195312,147672,23.1026,37.1256,34,76
0.02,0.000976562,1310960,2.01454,3.13415,40,88
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,47,163
0.05,0.000976562,164080,24.5491,38.4627,37,79
0.02,0.000488281,1442056,1.93207,2.99312,44,97
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,57,183
0.05,0.000488281,180488,18.561,29.8223,40,85
0.02,0.000244141,1573152,2.19774,3.38579,47,109
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,61,181
0.05,0.000244141,196896,18.7805,30.5041,47,93
0.02,0.00012207,1704248,1.84569,2.839,53,118
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,72,195
0.05,0.00012207,213304,20.1468,31.4554,51,98
0.02,6.10352e-05,1835344,1.53861,2.38247,63,132
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,84,258
0.05,6.10352e-05,229712,19.3986,30.9331,63,120
0.02,3.05176e-05,1966440,1.44364,2.27221,76,142
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,79,254
0.05,3.05176e-05,246120,17.6246,27.7576,61,115
0.02,1.52588e-05,2097536,1.5338,2.34794,72,138
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,82,264
0.05,1.52588e-05,262528,19.8448,31.2009,64,119
0.02,7.62939e-06,2228632,1.55626,2.39159,88,149
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,108,278
0.05,7.62939e-06,278936,16.1584,25.5224,83,147
0.02,3.8147e-06,2359728,1.36341,2.1073,91,169
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,109,298
0.05,3.8147e-06,295344,16.6997,26.6775,98,134
0.02,1.90735e-06,2490824,1.2309,1.96322,97,181
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,110,333
0.05,1.90735e-06,311752,14.6714,23.2366,93,142
0.02,0.25,262192,19.5356,29.2196,6,23
0.002,0.25,16777264,4.46836e-08,1.25114e-05,10,30
0.05,0.25,32816,113.424,176.601,5,23
0.02,0.125,393288,5.46405,8.4416,10,30
0.002,0.125,25165896,4.46836e-08,1.25114e-05,17,46
0.05,0.125,49224,48.9537,76.6279,10,38
0.02,0.0625,524384,5.07801,7.83292,12,38
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,20,76
0.05,0.0625,65632,49.9584,78.0884,13,41
0.02,0.03125,655480,3.2076,4.96621,18,51
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,34,95
0.05,0.03125,82040,35.4808,55.3277,18,47
0.02,0.015625,786576,3.82831,5.86988,20,53
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,35,85
0.05,0.015625,98448,34.783,54.4249,21,53
0.02,0.0078125,917672,2.97758,4.67827,30,71
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,40,144
0.05,0.0078125,114856,28.7158,45.0529,25,59
0.02,0.00390625,1048768,3.60427,5.64833,32,71
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,42,131
0.05,0.00390625,131264,25.7795,40.4808,26,65
0.02,0.00195312,1179864,2.5708,3.97828,35,84
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,49,148
0.05,0.00195312,147672,22.272,35.8172,33,77
0.02,0.000976562,1310960,2.76947,4.28199,38,93
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,57,228
0.05,0.000976562,164080,21.0965,33.4423,39,83
0.02,0.000488281,1442056,1.90674,2.97316,51,139
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,69,176
0.05,0.000488281,180488,23.0645,36.0325,45,101
0.02,0.000244141,1573152,2.00404,3.12725,49,115
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,68,219
0.05,0.000244141,196896,22.9818,35.8228,55,108
0.02,0.00012207,1704248,1.73124,2.65116,54,113
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,81,232
0.05,0.00012207,213304,15.1575,24.5976,59,104
0.02,6.10352e-05,1835344,1.49762,2.35903,58,131
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,69,222
0.05,6.10352e-05,229712,19.2564,30.2805,54,109
0.02,3.05176e-05,1966440,1.68041,2.56749,64,134
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,81,231
0.05,3.05176e-05,246120,19.3874,30.2674,60,115
