epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,70,763
0.05,0.00012207,213304,20.1275,31.475,52,621
0.02,6.10352e-05,1835344,2.46772,3.74662,59,642
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,74,767
0.05,6.10352e-05,229712,20.7938,32.5813,62,618
0.02,3.05176e-05,1966440,1.54114,2.37731,71,729
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,79,831
0.05,3.05176e-05,246120,17.9504,28.2209,74,635
0.02,1.52588e-05,2097536,1.74102,2.6736,74,654
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,84,808
0.05,1.52588e-05,262528,16.5659,26.2372,69,640
0.02,7.62939e-06,2228632,1.49472,2.37942,90,669
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,104,836
0.05,7.62939e-06,278936,18.9406,29.5951,82,651
0.02,3.8147e-06,2359728,1.28385,2.00038,100,686
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,111,865
0.05,3.8147e-06,295344,14.3814,23.0128,96,657
0.02,1.90735e-06,2490824,1.4111,2.18144,103,689
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,114,873
0.05,1.90735e-06,311752,16.3454,25.5704,98,662
0.02,0.25,262192,18.4473,28.0324,5,516
0.002,0.25,16777264,2.93429,3.83177,10,534
0.05,0.25,32816,125.257,197.686,5,506
0.02,0.125,393288,7.4412,11.6621,9,524
0.002,0.125,25165896,4.46836e-08,1.25114e-05,18,566
0.05,0.125,49224,51.2233,79.8147,10,514
0.02,0.0625,524384,4.88989,7.59633,12,535
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,22,580
0.05,0.0625,65632,49.662,77.975,11,520
0.02,0.03125,655480,3.35741,5.19295,15,546
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,24,597
0.05,0.03125,82040,35.8,56.1751,15,525
0.02,0.015625,786576,3.41043,5.39739,19,556
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,35,621
0.05,0.015625,98448,32.3046,50.4368,20,545
0.02,0.0078125,917672,2.26477,3.6531,24,561
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,36,641
0.05,0.0078125,114856,25.7109,40.7489,24,556
0.02,0.00390625,1048768,2.14521,3.32769,31,580
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,45,685
0.05,0.00390625,131264,27.3136,43.1796,28,562
0.02,0.00195312,1179864,2.31381,3.55747,35,581
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,47,685
0.05,0.00195312,147672,27.0728,42.5524,33,579
0.02,0.000976562,1310960,1.9263,3.02497,43,606
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,53,688
0.05,0.000976562,164080,22.2059,35.031,38,582
0.02,0.000488281,1442056,2.78889,4.42282,43,612
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,59,729
0.05,0.000488281,180488,20.8281,32.9234,42,590
0.02,0.000244141,1573152,1.88433,2.94958,51,621
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,64,727
0.05,0.000244141,196896,22.7369,35.8102,48,594
0.02,0.00012207,1704248,1.84,2.83146,55,637
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,68,763
0.05,0.00012207,213304,21.4109,33.3727,55,611
0.02,6.10352e-05,1835344,1.79789,2.78822,60,649
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,76,778
0.05,6.10352e-05,229712,22.7442,35.2583,59,612
0.02,3.05176e-05,1966440,1.49948,2.35733,66,661
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,79,798
0.05,3.05176e-05,246120,17.2844,27.2516,64,631
0.02,1.52588e-05,2097536,1.84275,2.85369,77,659
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,83,822
0.05,1.52588e-05,262528,18.085,28.3358,73,632
0.02,7.62939e-06,2228632,1.30512,2.05772,86,656
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,106,836
0.05,7.62939e-06,278936,18.051,28.2881,84,643
0.02,3.8147e-06,2359728,1.80776,2.82204,102,676
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,110,865
0.05,3.8147e-06,295344,18.2962,28.6383,89,655
0.02,1.90735e-06,2490824,1.29698,2.03062,107,688
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,108,881
0.05,1.90735e-06,311752,16.5741,26.1441,95,688
0.02,0.25,262192,19.2065,28.729,6,501
0.002,0.25,16777264,4.46836e-08,1.25114e-05,10,532
0.05,0.25,32816,123.209,192.314,5,513
0.02,0.125,393288,5.22427,8.96518,8,528
0.002,0.125,25165896,4.46836e-08,1.25114e-05,17,554
0.05,0.125,49224,58.3459,90.942,8,523
0.02,0.0625,524384,7.3381,11.597,13,534
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,21,593
0.05,0.0625,65632,50.4499,80.0126,11,525
0.02,0.03125,655480,3.30946,5.11813,15,547
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,29,590
0.05,0.03125,82040,37.7617,59.1117,15,535
0.02,0.015625,786576,3.00805,4.64792,19,551
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,29,639
0.05,0.015625,98448,31.1436,49.8078,19,552
0.02,0.0078125,917672,2.75127,4.24406,26,586
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,37,640
0.05,0.0078125,114856,27.5599,43.1852,25,555
0.02,0.00390625,1048768,2.70224,4.10939,31,578
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,42,653
0.05,0.00390625,131264,31.7585,50.101,27,562
0.02,0.00195312,1179864,2.40399,3.82478,35,595
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,48,682
0.05,0.00195312,147672,24.0513,37.8186,52,951
0.02,0.000976562,1310960,2.15926,3.36105,63,839
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,87,1090
0.05,0.000976562,164080,27.1502,42.9326,48,808
0.02,0.000488281,1442056,1.75228,2.79307,57,822
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,75,918
0.05,0.000488281,180488,22.1266,34.8744,46,777
0.02,0.000244141,1573152,1.78685,2.7428,66,789
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,95,936
0.05,0.000244141,196896,20.4935,32.1481,52,705
0.02,0.00012207,1704248,1.94931,3.00432,77,824
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,92,1005
0.05,0.00012207,213304,19.6083,30.7914,84,920
0.02,6.10352e-05,1835344,1.56506,2.42616,82,1044
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,73,1010
0.05,6.10352e-05,229712,19.6868,31.2443,75,844
0.02,3.05176e-05,1966440,1.531,2.40129,78,825
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,105,1011
0.05,3.05176e-05,246120,18.713,29.3094,75,792
0.02,1.52588e-05,2097536,1.42721,2.2314,90,876
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,103,1068
0.05,1.52588e-05,262528,21.072,33.0899,82,733
0.02,7.62939e-06,2228632,1.37312,2.12728,101,817
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,123,1135
0.05,7.62939e-06,278936,15.5138,24.8459,98,824
0.02,3.8147e-06,2359728,1.24153,1.94813,120,858
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,171,1216
0.05,3.8147e-06,295344,16.5171,25.8556,114,829
0.02,1.90735e-06,2490824,1.42895,2.20892,127,1065
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,158,1219
0.05,1.90735e-06,311752,13.1024,21.8155,153,948
0.02,0.25,262192,24.5199,38.7208,12,725
0.002,0.25,16777264,4.46836e-08,1.25114e-05,18,810
0.05,0.25,32816,110.927,173.491,8,757
0.02,0.125,393288,9.95039,15.714,12,698
0.002,0.125,25165896,4.46836e-08,1.25114e-05,27,794
0.05,0.125,49224,52.4303,81.9889,17,753
0.02,0.0625,524384,5.01692,7.56065,14,819
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,21,941
0.05,0.0625,65632,51.7751,82.0891,14,707
0.02,0.03125,655480,3.8133,5.78415,30,786
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,49,901
0.05,0.03125,82040,37.4951,58.7893,23,765
0.02,0.015625,786576,4.87283,7.70833,23,706
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,37,763
0.05,0.015625,98448,33.8528,54.3736,27,774
0.02,0.0078125,917672,2.65763,4.11553,29,718
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,44,845
0.05,0.0078125,114856,33.5594,52.5168,37,691
0.02,0.00390625,1048768,4.17351,6.63213,42,827
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,59,996
0.05,0.00390625,131264,42.0647,67.1088,38,771
0.02,0.00195312,1179864,2.2769,3.53194,35,940
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,52,808
0.05,0.00195312,147672,24.2493,37.9975,34,608
0.02,0.000976562,1310960,1.95659,3.04804,41,642
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,56,708
0.05,0.000976562,164080,28.2736,44.0959,38,612
0.02,0.000488281,1442056,1.84846,2.89702,46,633
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,57,811
0.05,0.000488281,180488,22.4239,35.0546,48,621
0.02,0.000244141,1573152,2.80396,4.37807,49,635
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,63,762
0.05,0.000244141,196896,30.7234,47.9852,48,623
0.02,0.00012207,1704248,1.8964,2.90943,57,649
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,70,771
0.05,0.00012207,213304,19.4407,30.4636,52,627
0.02,6.10352e-05,1835344,1.78658,2.76131,63,668
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,81,805
0.05,6.10352e-05,229712,19.8487,31.0026,59,632
0.02,3.05176e-05,1966440,2.09917,3.22895,70,653
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,85,814
0.05,3.05176e-05,246120,19.4323,30.5327,66,635
0.02,1.52588e-05,2097536,1.55606,2.3827,74,667
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,86,838
0.05,1.52588e-05,262528,22.7419,35.8847,74,651
0.02,7.62939e-06,2228632,1.38976,2.18235,94,682
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,108,851
0.05,7.62939e-06,278936,17.386,27.2002,91,657
0.02,3.8147e-06,2359728,1.57399,2.39669,97,713
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,112,876
0.05,3.8147e-06,295344,16.4509,25.8993,92,672
0.02,1.90735e-06,2490824,1.5696,2.47102,104,705
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,119,910
0.05,1.90735e-06,311752,16.6715,26.2237,96,669
0.02,0.25,262192,23.8316,37.2373,6,527
0.002,0.25,16777264,4.46836e-08,1.25114e-05,8,557
0.05,0.25,32816,104.61,162.349,5,518
0.02,0.125,393288,5.94505,9.13053,9,528
0.002,0.125,25165896,0.121128,0.195629,14,562
0.05,0.125,49224,49.6001,77.4973,8,526
0.02,0.0625,524384,4.96751,7.59136,13,553
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,22,601
0.05,0.0625,65632,67.565,106.44,13,542
0.02,0.03125,655480,3.48056,5.34126,16,561
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,610
0.05,0.03125,82040,34.7109,54.6062,16,553
0.02,0.015625,786576,2.72334,4.2876,19,575
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,31,628
0.05,0.015625,98448,35.935,56.4048,19,561
0.02,0.0078125,917672,3.20549,5.00477,23,575
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,38,628
0.05,0.0078125,114856,25.6376,40.3937,23,564
0.02,0.00390625,1048768,2.15629,3.34156,30,584
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,45,660
0.05,0.00390625,131264,24.0189,38.8868,28,559
0.02,0.00195312,1179864,2.41366,3.69493,35,587
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,49,674
0.05,0.00195312,147672,24.1829,38.4891,35,574
0.02,0.000976562,1310960,2.84027,4.47949,40,605
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,52,718
0.05,0.000976562,164080,24.7273,38.6198,38,576
0.02,0.000488281,1442056,1.83915,2.86669,44,609
0.002,0.000488281,92274952,4.46836e-08,1.25114e-05,58,718
0.05,0.000488281,180488,20.53,32.3639,43,601
0.02,0.000244141,1573152,1.74806,2.67577,50,634
0.002,0.000244141,100663584,4.46836e-08,1.25114e-05,63,738
0.05,0.000244141,196896,17.6889,28.242,47,601
0.02,0.00012207,1704248,1.57994,2.46734,56,624
0.002,0.00012207,109052216,4.46836e-08,1.25114e-05,71,744
0.05,0.00012207,213304,19.5126,30.696,53,607
0.02,6.10352e-05,1835344,2.49481,3.80635,64,649
0.002,6.10352e-05,117440848,4.46836e-08,1.25114e-05,75,793
0.05,6.10352e-05,229712,19.1303,29.7792,57,619
0.02,3.05176e-05,1966440,1.59789,2.49294,67,652
0.002,3.05176e-05,125829480,4.46836e-08,1.25114e-05,81,795
0.05,3.05176e-05,246120,20.0736,31.6826,63,632
0.02,1.52588e-05,2097536,1.48996,2.33352,75,675
0.002,1.52588e-05,134218112,4.46836e-08,1.25114e-05,88,822
0.05,1.52588e-05,262528,19.8134,31.0081,68,635
0.02,7.62939e-06,2228632,1.34031,2.10278,89,677
0.002,7.62939e-06,142606744,4.46836e-08,1.25114e-05,101,853
0.05,7.62939e-06,278936,16.6308,26.2027,84,649
0.02,3.8147e-06,2359728,1.33818,2.0834,96,687
0.002,3.8147e-06,150995376,4.46836e-08,1.25114e-05,114,867
0.05,3.8147e-06,295344,16.4989,25.9297,97,657
0.02,1.90735e-06,2490824,1.42728,2.23906,104,707
0.002,1.90735e-06,159384008,4.46836e-08,1.25114e-05,115,884
0.05,1.90735e-06,311752,14.4837,23.0325,104,659
0.02,0.25,262192,30.6188,48.1412,5,570
0.002,0.25,16777264,4.46836e-08,1.25114e-05,9,535
0.05,0.25,32816,108.433,172.421,6,506
0.02,0.125,393288,7.21337,10.8676,9,524
0.002,0.125,25165896,4.46836e-08,1.25114e-05,15,564
0.05,0.125,49224,45.3837,71.3369,8,516
0.02,0.0625,524384,5.1649,7.76213,11,539
0.002,0.0625,33554528,4.46836e-08,1.25114e-05,20,574
0.05,0.0625,65632,46.2735,72.0554,11,536
0.02,0.03125,655480,4.19567,6.36351,15,540
0.002,0.03125,41943160,4.46836e-08,1.25114e-05,27,597
0.05,0.03125,82040,33.0967,51.8825,15,546
0.02,0.015625,786576,3.4152,5.14979,23,564
0.002,0.015625,50331792,4.46836e-08,1.25114e-05,31,607
0.05,0.015625,98448,31.4135,50.3578,19,544
0.02,0.0078125,917672,2.77652,4.3155,24,566
0.002,0.0078125,58720424,4.46836e-08,1.25114e-05,41,640
0.05,0.0078125,114856,29.1511,46.2272,23,558
0.02,0.00390625,1048768,2.59739,4.03561,30,584
0.002,0.00390625,67109056,4.46836e-08,1.25114e-05,40,662
0.05,0.00390625,131264,31.1892,48.7429,28,578
0.02,0.00195312,1179864,2.43694,3.76939,35,595
0.002,0.00195312,75497688,4.46836e-08,1.25114e-05,48,670
0.05,0.00195312,147672,23.7816,37.3726,33,580
0.02,0.000976562,1310960,2.04884,3.1645,42,607
0.002,0.000976562,83886320,4.46836e-08,1.25114e-05,52,693
0.05,0.000976562,164080,26.0398,41.0011,37,583
0.02,0.000488281,1442056,2.56637,4.05952,45,615
