epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.0232019,0.125,223608,11.7375,41,709,0.0001
0.0232019,0.125,248200,10.0004,40,756,1e-05
0.0164062,0.125,393288,10.1432,43,536,0.1
0.0164062,0.125,393336,8.15288,42,605,0.01
0.0164062,0.125,394264,9.52001,40,611,0.001
0.0164062,0.125,420216,5.43994,41,724,0.0001
0.0164062,0.125,444808,5.88015,41,761,1e-05
0.011601,0.125,786504,3.74294,39,554,0.1
0.011601,0.125,786552,4.47349,41,559,0.01
0.011601,0.125,787480,4.74492,41,585,0.001
0.011601,0.125,813432,4.26253,44,712,0.0001
0.011601,0.125,838024,2.9327,43,761,1e-05
0.00820312,0.125,1572936,1.01755,43,547,0.1
0.00820312,0.125,1572984,1.64411,40,564,0.01
0.00820312,0.125,1573912,0.987639,41,596,0.001
0.00820312,0.125,1599864,0.719982,41,730,0.0001
0.00820312,0.125,1624456,1.69251,42,763,1e-05
0.00580049,0.125,3145800,0.27659,41,568,0.1
0.00580049,0.125,3145848,0.102981,41,568,0.01
0.00580049,0.125,3146776,0.175335,42,602,0.001
0.00580049,0.125,3172728,0.0630701,41,738,0.0001
0.00580049,0.125,3197320,0,43,797,1e-05
0.00410156,0.125,6291528,0,43,574,0.1
0.00410156,0.125,6291576,0,45,581,0.01
0.00410156,0.125,6292504,0,44,616,0.001
0.00410156,0.125,6318456,0.324296,48,735,0.0001
0.00410156,0.125,6343048,0,43,773,1e-05
0.00290024,0.125,12582984,0,45,590,0.1
0.00290024,0.125,12583032,0,60,585,0.01
0.00290024,0.125,12583960,0,45,614,0.001
0.00290024,0.125,12609912,0,48,752,0.0001
0.00290024,0.125,12634504,0,49,786,1e-05
0.742462,1e-05,1496,1654.09,118,635,0.1
0.742462,1e-05,1544,1330.06,118,634,0.01
0.742462,1e-05,2472,709.424,120,665,0.001
0.742462,1e-05,28424,351.657,127,817,0.0001
0.742462,1e-05,53016,222.649,117,790,1e-05
0.525,1e-05,2584,1108.31,118,631,0.1
0.525,1e-05,2632,1029.93,142,639,0.01
0.525,1e-05,3560,493.422,120,657,0.001
0.525,1e-05,29512,233.278,118,765,0.0001
0.525,1e-05,54104,196.832,115,787,1e-05
0.371231,1e-05,4760,727.067,123,640,0.1
0.371231,1e-05,4808,584.208,118,664,0.01
0.371231,1e-05,5736,371.433,119,657,0.001
0.371231,1e-05,31688,156.057,121,770,0.0001
0.371231,1e-05,56280,143.66,117,799,1e-05
0.2625,1e-05,9112,436.988,126,647,0.1
0.2625,1e-05,9160,381.26,129,638,0.01
0.2625,1e-05,10088,271.082,120,669,0.001
0.2625,1e-05,36040,100.442,122,808,0.0001
0.2625,1e-05,60632,86.1718,120,796,1e-05
0.185616,1e-05,17816,250.093,119,643,0.1
0.185616,1e-05,17864,251.359,120,648,0.01
0.185616,1e-05,18792,180.206,121,658,0.001
0.185616,1e-05,44744,67.946,119,771,0.0001
0.185616,1e-05,69336,59.7236,126,801,1e-05
0.13125,1e-05,35224,153.526,119,690,0.1
0.13125,1e-05,35272,152.923,134,667,0.01
0.13125,1e-05,36200,125.369,119,718,0.001
0.13125,1e-05,62152,47.0889,129,830,0.0001
0.13125,1e-05,86744,38.2319,134,889,1e-05
0.0928078,1e-05,70040,87.9654,123,712,0.1
0.0928078,1e-05,70088,88.3308,127,704,0.01
0.0928078,1e-05,71016,80.025,124,762,0.001
0.0928078,1e-05,96968,32.1881,125,788,0.0001
0.0928078,1e-05,121560,29.5935,130,832,1e-05
0.065625,1e-05,139672,49.2631,135,773,0.1
0.065625,1e-05,139720,49.5345,137,831,0.01
0.065625,1e-05,140648,45.9123,135,768,0.001
0.065625,1e-05,166600,21.54,120,804,0.0001
0.065625,1e-05,191192,18.2027,126,824,1e-05
0.0464039,1e-05,278936,25.1682,138,793,0.1
0.0464039,1e-05,278984,25.5403,124,795,0.01
0.0464039,1e-05,279912,24.3075,122,692,0.001
0.0464039,1e-05,305864,13.9837,119,800,0.0001
0.0464039,1e-05,330456,11.6541,132,864,1e-05
0.0328125,1e-05,557464,11.8445,130,832,0.1
0.0328125,1e-05,557512,12.4712,137,756,0.01
0.0328125,1e-05,558440,12.0247,122,715,0.001
0.0328125,1e-05,584392,8.17053,141,924,0.0001
