epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.00859375,0.03125,20520,572.077,901.448,6,561
0.00429688,0.03125,41000,217.127,343.835,5,581
0.00214844,0.03125,81960,90.8029,143.865,6,623
0.00107422,0.03125,163880,36.3127,56.8624,6,626
0.000537109,0.03125,327720,11.9758,19.0058,7,604
0.000268555,0.03125,655400,4.01162,6.41143,6,597
0.000134277,0.03125,1310760,1.24285,1.93415,8,570
6.71387e-05,0.03125,2621480,0.0468446,0.0832134,6,573
3.35693e-05,0.03125,5242920,0.000468881,0.000713151,7,584
1.67847e-05,0.03125,10485800,4.46836e-08,1.25114e-05,10,599
8.39233e-06,0.03125,20971560,4.46836e-08,1.25114e-05,15,601
4.19617e-06,0.03125,41943080,4.46836e-08,1.25114e-05,18,708
2.09808e-06,0.03125,83886120,4.46836e-08,1.25114e-05,19,652
0.275,0.125,408,27020.1,42682.3,4,553
0.1375,0.125,792,13065.1,20634.5,4,570
0.06875,0.125,1560,6308.71,9961.76,4,552
0.034375,0.125,3096,3009.91,4753.23,4,817
0.0171875,0.125,6168,1381.04,2178.54,4,677
0.00859375,0.125,12312,625.492,986.185,4,649
0.00429688,0.125,24600,274.72,432.449,5,649
0.00214844,0.125,49176,118.957,186.37,4,714
0.00107422,0.125,98328,47.1556,73.4857,6,793
0.000537109,0.125,196632,17.1703,26.7143,4,831
0.000268555,0.125,393240,5.44507,8.39657,5,722
0.000134277,0.125,786456,2.16311,3.42098,6,751
6.71387e-05,0.125,1572888,0.304093,0.480488,7,644
3.35693e-05,0.125,3145752,0.00298929,0.00500457,5,636
1.67847e-05,0.125,6291480,4.46836e-08,1.25114e-05,24,811
8.39233e-06,0.125,12582936,4.46836e-08,1.25114e-05,11,769
4.19617e-06,0.125,25165848,4.46836e-08,1.25114e-05,11,651
2.09808e-06,0.125,50331672,4.46836e-08,1.25114e-05,13,709
