epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.742462,0.03125,440,4031.65,52,626,0.1
0.742462,0.03125,488,2592.24,54,623,0.01
0.742462,0.03125,1416,1451.31,50,621,0.001
0.742462,0.03125,27368,525.756,47,722,0.0001
0.742462,0.03125,51960,616.641,48,734,1e-05
0.525,0.03125,760,1819.79,53,539,0.1
0.525,0.03125,808,1707.35,48,545,0.01
0.525,0.03125,1736,1092.78,47,573,0.001
0.525,0.03125,27688,416.132,57,754,0.0001
0.525,0.03125,52280,329.346,48,833,1e-05
0.371231,0.03125,1400,1206.14,67,653,0.1
0.371231,0.03125,1448,1140.55,52,645,0.01
0.371231,0.03125,2376,674.8,53,590,0.001
0.371231,0.03125,28328,289.412,47,732,0.0001
0.371231,0.03125,52920,221.131,47,766,1e-05
0.2625,0.03125,2680,786.335,52,608,0.1
0.2625,0.03125,2728,619.466,52,590,0.01
0.2625,0.03125,3656,451.725,56,612,0.001
0.2625,0.03125,29608,191.344,57,1026,0.0001
0.2625,0.03125,54200,172.866,57,1206,1e-05
0.185616,0.03125,5240,492.886,58,778,0.1
0.185616,0.03125,5288,467.784,51,706,0.01
0.185616,0.03125,6216,331.418,48,607,0.001
0.185616,0.03125,32168,118.971,49,766,0.0001
0.185616,0.03125,56760,97.7493,61,850,1e-05
0.13125,0.03125,10360,291.697,52,609,0.1
0.13125,0.03125,10408,270.902,57,596,0.01
0.13125,0.03125,11336,229.125,50,706,0.001
0.13125,0.03125,37288,84.0447,50,750,0.0001
0.13125,0.03125,61880,73.0422,49,792,1e-05
0.0928078,0.03125,20600,172.875,52,605,0.1
0.0928078,0.03125,20648,170.802,51,646,0.01
0.0928078,0.03125,21576,164.378,56,660,0.001
0.0928078,0.03125,47528,58.2859,53,791,0.0001
0.0928078,0.03125,72120,46.7097,50,806,1e-05
0.065625,0.03125,41080,100.739,53,610,0.1
0.065625,0.03125,41128,96.0602,60,698,0.01
0.065625,0.03125,42056,91.1903,54,634,0.001
0.065625,0.03125,68008,38.6197,50,741,0.0001
0.065625,0.03125,92600,34.4232,50,780,1e-05
0.0464039,0.03125,82040,50.5377,50,573,0.1
0.0464039,0.03125,82088,56.6982,49,582,0.01
0.0464039,0.03125,83016,50.9909,48,638,0.001
0.0464039,0.03125,108968,26.9821,60,745,0.0001
0.0464039,0.03125,133560,21.1701,78,919,1e-05
0.0328125,0.03125,163960,27.8589,48,635,0.1
0.0328125,0.03125,164008,26.7532,53,568,0.01
0.0328125,0.03125,164936,26.1516,48,596,0.001
0.0328125,0.03125,190888,14.9664,48,727,0.0001
0.0328125,0.03125,215480,13.8153,49,770,1e-05
0.0232019,0.03125,327800,13.0213,48,564,0.1
0.0232019,0.03125,327848,12.1469,48,562,0.01
0.0232019,0.03125,328776,11.6006,48,593,0.001
0.0232019,0.03125,354728,8.28166,51,768,0.0001
0.0232019,0.03125,379320,6.77249,76,809,1e-05
0.0164062,0.03125,655480,5.66992,51,647,0.1
0.0164062,0.03125,655528,4.85174,62,892,0.01
0.0164062,0.03125,656456,5.80646,47,644,0.001
0.0164062,0.03125,682408,3.97599,50,779,0.0001
0.0164062,0.03125,707000,4.27822,59,778,1e-05
0.011601,0.03125,1310840,3.20131,58,650,0.1
0.011601,0.03125,1310888,3.06039,74,914,0.01
0.011601,0.03125,1311816,1.96996,60,759,0.001
0.011601,0.03125,1337768,1.75072,54,824,0.0001
0.011601,0.03125,1362360,1.41193,63,900,1e-05
0.00820312,0.03125,2621560,0.684199,47,802,0.1
0.00820312,0.03125,2621608,0.351033,88,853,0.01
0.00820312,0.03125,2622536,0.625746,53,755,0.001
0.00820312,0.03125,2648488,0.317189,56,945,0.0001
0.00820312,0.03125,2673080,0.428591,52,865,1e-05
0.00580049,0.03125,5243000,0,56,807,0.1
0.00580049,0.03125,5243048,0.0414503,47,621,0.01
0.00580049,0.03125,5243976,0.321456,49,622,0.001
0.00580049,0.03125,5269928,0.0616563,50,753,0.0001
0.00580049,0.03125,5294520,0,46,797,1e-05
0.00410156,0.03125,10485880,0.00357827,54,595,0.1
0.00410156,0.03125,10485928,0,59,606,0.01
0.00410156,0.03125,10486856,0,64,687,0.001
0.00410156,0.03125,10512808,0,67,961,0.0001
0.00410156,0.03125,10537400,0,69,996,1e-05
0.00290024,0.03125,20971640,0,106,730,0.1
0.00290024,0.03125,20971688,0,96,847,0.01
0.00290024,0.03125,20972616,0.0416005,56,782,0.001
0.00290024,0.03125,20998568,0,80,997,0.0001
0.00290024,0.03125,21023160,0,83,1180,1e-05
0.742462,0.125,264,3778.22,47,774,0.1
0.742462,0.125,312,2570.78,53,796,0.01
0.742462,0.125,1240,1797.23,43,838,0.001
0.742462,0.125,27192,715.957,52,947,0.0001
0.742462,0.125,51784,793.722,41,823,1e-05
0.525,0.125,456,2879.51,40,554,0.1
0.525,0.125,504,1844.51,40,538,0.01
0.525,0.125,1432,1208.06,39,573,0.001
0.525,0.125,27384,460.014,41,709,0.0001
0.525,0.125,51976,509.69,40,798,1e-05
0.371231,0.125,840,1548.55,47,707,0.1
0.371231,0.125,888,1701.14,44,549,0.01
0.371231,0.125,1816,748.749,39,595,0.001
0.371231,0.125,27768,378.248,44,754,0.0001
0.371231,0.125,52360,268.553,41,797,1e-05
0.2625,0.125,1608,1063.68,40,546,0.1
0.2625,0.125,1656,954.823,44,635,0.01
0.2625,0.125,2584,638.469,39,593,0.001
0.2625,0.125,28536,211.547,42,854,0.0001
0.2625,0.125,53128,192.593,55,1093,1e-05
0.185616,0.125,3144,620.511,44,616,0.1
0.185616,0.125,3192,561.861,40,543,0.01
0.185616,0.125,4120,442.138,40,551,0.001
0.185616,0.125,30072,151.179,39,731,0.0001
0.185616,0.125,54664,145.149,39,761,1e-05
0.13125,0.125,6216,365.769,39,540,0.1
0.13125,0.125,6264,367.851,43,536,0.01
0.13125,0.125,7192,290.666,39,597,0.001
0.13125,0.125,33144,105.709,45,751,0.0001
0.13125,0.125,57736,94.8568,44,787,1e-05
0.0928078,0.125,12360,225.891,41,579,0.1
0.0928078,0.125,12408,214.953,40,558,0.01
0.0928078,0.125,13336,190.57,41,579,0.001
0.0928078,0.125,39288,74.323,42,793,0.0001
0.0928078,0.125,63880,69.5737,47,905,1e-05
0.065625,0.125,24648,156.949,39,528,0.1
0.065625,0.125,24696,130.76,39,546,0.01
0.065625,0.125,25624,142.88,40,558,0.001
0.065625,0.125,51576,50.018,41,753,0.0001
0.065625,0.125,76168,41.133,43,759,1e-05
0.0464039,0.125,49224,74.8682,43,567,0.1
0.0464039,0.125,49272,77.7892,43,557,0.01
0.0464039,0.125,50200,67.3719,40,618,0.001
0.0464039,0.125,76152,32.5879,39,711,0.0001
0.0464039,0.125,100744,26.5418,43,764,1e-05
0.0328125,0.125,98376,37.5863,40,668,0.1
