epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.02,0.015625,12336,1245.36,1965.03,6,520
0.002,0.015625,98352,90.1088,141.742,6,520
0.05,0.015625,6192,2783.44,4393.98,6,523
0.02,0.0078125,14392,1234.99,1948.47,7,541
0.002,0.0078125,114744,81.8462,129.516,10,534
0.05,0.0078125,7224,2692.93,4254.12,7,520
0.02,0.00390625,16448,1210.51,1910.59,8,524
0.002,0.00390625,131136,88.6098,139.032,9,534
0.05,0.00390625,8256,2701.78,4264.73,8,535
0.02,0.00195312,18504,1182.64,1866.54,9,544
0.002,0.00195312,147528,82.9868,130.428,10,543
0.05,0.00195312,9288,2622.19,4141.28,9,543
0.02,0.000976562,20560,1181.42,1864.62,13,551
0.002,0.000976562,163920,70.9991,113.018,11,554
0.05,0.000976562,10320,2630.44,4153.25,10,542
0.02,0.000488281,22616,1170.06,1846.05,10,555
0.002,0.000488281,180312,71.7351,114.254,10,554
0.05,0.000488281,11352,2642.23,4171.26,10,538
0.02,0.000244141,24672,1156.39,1824.99,12,543
0.002,0.000244141,196704,74.7994,117.954,12,564
0.05,0.000244141,12384,2252.59,3579.49,10,549
0.02,0.00012207,26728,1131.53,1786.69,12,566
0.002,0.00012207,213096,76.5721,120.366,12,577
0.05,0.00012207,13416,2607.72,4115.46,12,554
0.02,6.10352e-05,28784,1129.82,1782.59,13,561
0.002,6.10352e-05,229488,76.8858,120.644,12,584
0.05,6.10352e-05,14448,2456.61,3878.94,13,596
0.02,3.05176e-05,30840,1133.61,1788.83,13,585
0.002,3.05176e-05,245880,74.7369,117.481,14,581
0.05,3.05176e-05,15480,2562.07,4043.98,14,573
0.02,1.52588e-05,32896,1134.32,1789.74,15,573
0.002,1.52588e-05,262272,62.5093,100.185,15,588
0.05,1.52588e-05,16512,2537.74,4006.45,14,578
0.02,7.62939e-06,34952,1127.3,1778.34,15,569
0.002,7.62939e-06,278664,69.1081,109.52,14,602
0.05,7.62939e-06,17544,2504.1,3953.76,14,583
0.02,3.8147e-06,37008,976.716,1568.81,16,587
0.002,3.8147e-06,295056,65.8577,104.78,16,597
0.05,3.8147e-06,18576,2485.73,3924.82,15,584
0.02,1.90735e-06,39064,1112.64,1755.48,15,599
0.002,1.90735e-06,311448,66.3399,105.179,17,602
0.05,1.90735e-06,19608,2523.28,3984.32,16,587
0.02,0.25,4112,1492.17,2354.15,3,508
0.002,0.25,32784,140.449,220.241,3,498
0.05,0.25,2064,3151.69,4976.1,3,507
0.02,0.125,6168,1404.88,2215.06,4,501
0.002,0.125,49176,119.605,187.447,4,513
0.05,0.125,3096,2966.6,4682.74,5,502
0.02,0.0625,8224,1328.12,2095.93,5,512
0.002,0.0625,65568,106.478,167.293,5,516
0.05,0.0625,4128,2872.24,4534.67,8,514
0.02,0.03125,10280,1297.95,2048.3,6,525
0.002,0.03125,81960,85.98,136.959,5,521
0.05,0.03125,5160,2825.15,4459.98,6,516
0.02,0.015625,12336,1269.54,2002.22,6,519
0.002,0.015625,98352,83.8544,133.085,7,537
0.05,0.015625,6192,2744.95,4333.63,8,527
0.02,0.0078125,14392,1219.3,1923.66,7,534
0.002,0.0078125,114744,88.9901,140.072,7,536
0.05,0.0078125,7224,2728.8,4307.51,8,523
0.02,0.00390625,16448,1211.95,1913.03,9,539
0.002,0.00390625,131136,85.2881,133.955,7,560
0.05,0.00390625,8256,2674.44,4221.68,9,534
0.02,0.00195312,18504,1208.78,1907.38,9,537
0.002,0.00195312,147528,81.9303,129.538,9,540
0.05,0.00195312,9288,2682.85,4234.13,10,533
0.02,0.000976562,20560,1181.77,1863.84,10,542
0.002,0.000976562,163920,74.7586,118.641,10,558
0.05,0.000976562,10320,2135.87,3406.6,9,540
0.02,0.000488281,22616,1174.23,1853.2,12,558
0.002,0.000488281,180312,65.8052,105.69,10,559
0.05,0.000488281,11352,2334.37,3708.12,9,600
0.02,0.000244141,24672,1120.99,1769.52,12,680
0.002,0.000244141,196704,76.3957,120.232,13,588
0.05,0.000244141,12384,2616.41,4130.35,12,554
0.02,0.00012207,26728,1148.24,1811.76,12,554
0.002,0.00012207,213096,63.4159,102.512,11,566
0.05,0.00012207,13416,2570.14,4058.59,13,558
0.02,6.10352e-05,28784,1143.74,1804.91,13,563
0.002,6.10352e-05,229488,77.0498,121.095,14,568
0.05,6.10352e-05,14448,2538.74,4010.45,13,556
0.02,3.05176e-05,30840,1137.72,1794.74,13,562
0.002,3.05176e-05,245880,74.9898,117.876,14,584
0.05,3.05176e-05,15480,2483.79,3921.77,13,569
0.02,1.52588e-05,32896,1043.31,1659.04,14,574
0.002,1.52588e-05,262272,64.0007,102.342,15,586
0.05,1.52588e-05,16512,2566.19,4051.71,14,574
0.02,7.62939e-06,34952,1137.91,1794.58,15,575
0.002,7.62939e-06,278664,72.0363,113.385,15,599
0.05,7.62939e-06,17544,2464.68,3891.24,14,581
0.02,3.8147e-06,37008,1022.75,1620.74,15,584
0.002,3.8147e-06,295056,71.3417,112.29,15,591
0.05,3.8147e-06,18576,2490.21,3931.43,15,581
0.02,1.90735e-06,39064,1106.21,1745.35,15,593
0.002,1.90735e-06,311448,69.7775,109.859,16,618
0.05,1.90735e-06,19608,2221.89,3522.56,16,585
0.02,0.25,4112,1510.13,2382.01,3,504
0.002,0.25,32784,139.656,219.359,5,498
0.05,0.25,2064,3169.92,5002.85,3,506
0.02,0.125,6168,1396.75,2205.24,4,506
0.002,0.125,49176,118.622,185.911,4,506
0.05,0.125,3096,2997.99,4730.62,4,515
0.02,0.0625,8224,1307.68,2064.78,5,507
0.002,0.0625,65568,103.129,162.197,5,517
0.05,0.0625,4128,2227.35,3549.56,5,513
0.02,0.03125,10280,1282.14,2022.48,5,533
0.002,0.03125,81960,97.317,153.085,6,528
0.05,0.03125,5160,2804.63,4426.93,5,519
0.02,0.015625,12336,1235.62,1950.67,7,522
0.002,0.015625,98352,93.639,147.074,7,535
0.05,0.015625,6192,2784.08,4393.48,6,520
0.02,0.0078125,14392,1233.06,1946.32,8,533
0.002,0.0078125,114744,81.9489,130.479,7,526
0.05,0.0078125,7224,2727.86,4306.64,8,519
0.02,0.00390625,16448,1059.37,1677.35,8,528
0.002,0.00390625,131136,85.5529,134.551,9,545
0.05,0.00390625,8256,2678.37,4229.51,8,532
0.02,0.00195312,18504,1200.96,1895.25,11,776
0.002,0.00195312,147528,70.2652,114.378,10,705
0.05,0.00195312,9288,2652.67,4187.25,12,732
0.02,0.000976562,20560,1189.77,1877.34,12,816
0.002,0.000976562,163920,73.494,117.342,20,749
0.05,0.000976562,10320,2632.7,4156.54,10,928
0.02,0.000488281,22616,1128.07,1780.84,12,773
0.002,0.000488281,180312,78.5746,123.643,13,807
0.05,0.000488281,11352,2617.25,4133.47,13,820
0.02,0.000244141,24672,1004.35,1592.8,15,781
0.002,0.000244141,196704,80.8105,126.865,13,764
0.05,0.000244141,12384,2603.71,4111.36,12,765
0.02,0.00012207,26728,1035.19,1638.39,13,799
0.002,0.00012207,213096,75.7978,119.342,14,829
0.05,0.00012207,13416,2571.21,4061.46,15,759
0.02,6.10352e-05,28784,1091.77,1724.86,13,677
0.002,6.10352e-05,229488,74.329,116.925,14,705
0.05,6.10352e-05,14448,2535.75,4003.82,17,688
0.02,3.05176e-05,30840,1140.15,1799.04,13,695
0.002,3.05176e-05,245880,64.6482,103.043,14,705
0.05,3.05176e-05,15480,2556.42,4036.14,14,579
0.02,1.52588e-05,32896,1138.6,1796.9,14,593
0.002,1.52588e-05,262272,69.3642,110.065,15,597
0.05,1.52588e-05,16512,2535.23,4001.94,14,563
0.02,7.62939e-06,34952,1069.04,1689.14,15,588
0.002,7.62939e-06,278664,70.566,111.205,14,590
0.05,7.62939e-06,17544,2516.91,3973.77,13,585
0.02,3.8147e-06,37008,946.796,1510.83,15,589
0.002,3.8147e-06,295056,63.9897,101.758,15,601
0.05,3.8147e-06,18576,2510.51,3964.39,16,580
0.02,1.90735e-06,39064,1055.79,1668.59,15,593
0.002,1.90735e-06,311448,67.1626,106.899,16,607
0.05,1.90735e-06,19608,2495.65,3941.01,15,590
0.02,0.25,4112,1494.27,2358.12,3,499
0.002,0.25,32784,141.201,221.066,3,512
0.05,0.25,2064,3168.14,4997.36,3,505
0.02,0.125,6168,1398.13,2205.54,5,509
0.002,0.125,49176,118.58,186.046,4,506
0.05,0.125,3096,3005.08,4745.2,4,511
0.02,0.0625,8224,1335.75,2106.96,5,513
0.002,0.0625,65568,98.3598,155.258,6,555
0.05,0.0625,4128,2827.5,4466.37,6,514
0.02,0.03125,10280,1266.12,1998.88,7,523
0.002,0.03125,81960,95.4545,150.012,6,514
0.05,0.03125,5160,2485.55,3936.37,6,523
