epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.002,0.000976562,164016,598.73,39,600,0.005
0.002,0.000976562,215920,411.736,64,788,5e-05
0.002,0.000976562,265264,443.292,67,829,1e-05
0.05,0.000976562,11008,3599.61,41,605,0.001
0.05,0.000976562,34528,1894.85,57,717,0.0001
0.05,0.000976562,10416,4175.25,37,590,0.005
0.05,0.000976562,62320,1440.68,64,767,5e-05
0.05,0.000976562,111664,1111.31,67,809,1e-05
0.02,0.000488281,23304,1694.93,42,616,0.001
0.02,0.000488281,46824,1037.65,60,720,0.0001
0.02,0.000488281,22712,2148.54,39,590,0.005
0.02,0.000488281,74616,867.204,65,762,5e-05
0.02,0.000488281,123960,741.57,67,816,1e-05
0.002,0.000488281,181000,270.15,43,617,0.001
0.002,0.000488281,204520,360.167,59,714,0.0001
0.002,0.000488281,180408,598.453,40,601,0.005
0.002,0.000488281,232312,411.628,64,764,5e-05
0.002,0.000488281,281656,442.541,66,821,1e-05
0.05,0.000488281,12040,3576.28,41,604,0.001
0.05,0.000488281,35560,1888.86,58,716,0.0001
0.05,0.000488281,11448,4260.94,39,589,0.005
0.05,0.000488281,63352,1431.63,64,762,5e-05
0.05,0.000488281,112696,1110.74,66,816,1e-05
0.02,0.000244141,25360,1671.48,43,616,0.001
0.02,0.000244141,48880,1032.67,58,727,0.0001
0.02,0.000244141,24768,2143.46,41,604,0.005
0.02,0.000244141,76672,864.18,66,885,5e-05
0.02,0.000244141,126016,728.483,67,833,1e-05
0.002,0.000244141,197392,268.093,45,620,0.001
0.002,0.000244141,220912,358.183,59,734,0.0001
0.002,0.000244141,196800,596.192,41,612,0.005
0.002,0.000244141,248704,411.051,63,776,5e-05
0.002,0.000244141,298048,442.426,68,827,1e-05
0.05,0.000244141,13072,3570.04,43,615,0.001
0.05,0.000244141,36592,1882.4,57,726,0.0001
0.05,0.000244141,12480,4225.47,39,605,0.005
0.05,0.000244141,64384,1427.08,63,775,5e-05
0.05,0.000244141,113728,1103.15,73,832,1e-05
0.02,0.00012207,27416,1658.71,45,689,0.001
0.02,0.00012207,50936,1019.57,72,800,0.0001
0.02,0.00012207,26824,2126.57,46,636,0.005
0.02,0.00012207,78728,860.773,68,809,5e-05
0.02,0.00012207,128072,735.66,78,832,1e-05
0.002,0.00012207,213784,265.559,46,633,0.001
0.002,0.00012207,237304,357.766,58,723,0.0001
0.002,0.00012207,213192,593.941,43,616,0.005
0.002,0.00012207,265096,410.513,65,778,5e-05
0.002,0.00012207,314440,441.902,69,830,1e-05
0.05,0.00012207,14104,3496.79,44,619,0.001
0.05,0.00012207,37624,1874.23,59,728,0.0001
0.05,0.00012207,13512,4221.38,41,612,0.005
0.05,0.00012207,65416,1420.33,67,781,5e-05
0.05,0.00012207,114760,1103.14,66,834,1e-05
0.02,6.10352e-05,29472,1663.96,45,630,0.001
0.02,6.10352e-05,52992,1021.95,58,735,0.0001
0.02,6.10352e-05,28880,2085.1,40,612,0.005
0.02,6.10352e-05,80784,862.478,64,777,5e-05
0.02,6.10352e-05,130128,733.013,65,833,1e-05
0.002,6.10352e-05,230176,264.585,45,631,0.001
0.002,6.10352e-05,253696,356.537,85,1143,0.0001
0.002,6.10352e-05,229584,592.882,50,889,0.005
0.002,6.10352e-05,281488,410.054,85,1023,5e-05
0.002,6.10352e-05,330832,441.894,78,1120,1e-05
0.05,6.10352e-05,15136,3472.08,56,867,0.001
0.05,6.10352e-05,38656,1865.89,66,984,0.0001
0.05,6.10352e-05,14544,4209.5,49,862,0.005
0.05,6.10352e-05,66448,1421.82,75,1008,5e-05
0.05,6.10352e-05,115792,1077.4,83,1063,1e-05
