epsilon,delta,memory,relativeError,averageError,queryTime,updateTime
0.002,0.000976562,163920,80.5281,126.743,12,60
0.05,0.000976562,10320,2608.95,4119.07,12,55
0.02,0.000488281,22616,1169.71,1845.46,12,61
0.002,0.000488281,180312,72.4353,114.488,12,59
0.05,0.000488281,11352,2588.35,4085.1,11,62
0.02,0.000244141,24672,1165.91,1838.82,13,78
0.002,0.000244141,196704,78.9519,124.125,13,66
0.05,0.000244141,12384,2528.94,3993.59,12,68
0.02,0.00012207,26728,1098.69,1738.9,14,72
0.002,0.00012207,213096,75.2901,118.647,12,70
0.05,0.00012207,13416,2580.57,4074.78,11,70
0.02,6.10352e-05,28784,1155.8,1822.65,14,74
0.002,6.10352e-05,229488,76.8484,120.76,17,76
0.05,6.10352e-05,14448,2550.96,4027.25,14,73
0.02,3.05176e-05,30840,834.061,1343.47,14,81
0.002,3.05176e-05,245880,67.0491,106.356,17,90
0.05,3.05176e-05,15480,2502.81,3959.74,15,79
0.02,1.52588e-05,32896,1088.67,1718.89,15,90
0.002,1.52588e-05,262272,70.2038,110.882,16,87
0.05,1.52588e-05,16512,2550.57,4026.21,16,85
0.02,7.62939e-06,34952,939.553,1494.64,16,89
0.002,7.62939e-06,278664,67.7397,108.067,18,100
0.05,7.62939e-06,17544,2504.08,3952.9,16,92
0.02,3.8147e-06,37008,1122.4,1770.45,16,94
0.002,3.8147e-06,295056,68.2418,107.735,18,96
0.05,3.8147e-06,18576,2433.81,3842.66,16,95
0.02,1.90735e-06,39064,1118.91,1765.79,17,99
0.002,1.90735e-06,311448,70.7753,111.257,18,100
0.05,1.90735e-06,19608,2530.97,3995.02,17,101
0.02,0.25,4112,1495.91,2359.56,5,16
0.002,0.25,32784,140.816,220.504,6,17
0.05,0.25,2064,3177.34,5013.77,4,18
0.02,0.125,6168,1400.2,2208.73,5,24
0.002,0.125,49176,113.861,178.426,5,22
0.05,0.125,3096,3016.51,4761.31,5,23
0.02,0.0625,8224,1260.63,1991.81,6,27
0.002,0.0625,65568,103.58,162.821,6,28
0.05,0.0625,4128,2871.01,4532.23,6,27
0.02,0.03125,10280,1144.31,1810.91,6,34
0.002,0.03125,81960,99.7923,156.681,7,32
0.05,0.03125,5160,2821.26,4452.84,8,95
0.02,0.015625,12336,1261.51,1990.63,7,36
0.002,0.015625,98352,93.6352,147.129,9,39
0.05,0.015625,6192,2759.78,4357.73,8,39
0.02,0.0078125,14392,1254.35,1978.85,8,42
0.002,0.0078125,114744,91.0042,142.773,8,42
0.05,0.0078125,7224,2750.75,4340.4,9,42
0.02,0.00390625,16448,1199.17,1893.2,8,47
0.002,0.00390625,131136,85.6287,134.866,9,48
0.05,0.00390625,8256,2687.25,4242.13,9,49
0.02,0.00195312,18504,1194.91,1885.12,8,51
0.002,0.00195312,147528,75.9291,120.867,10,51
0.05,0.00195312,9288,2661.43,4200.7,11,70
0.02,0.000976562,20560,1198.44,1890.29,12,72
0.002,0.000976562,163920,82.7474,129.988,11,91
0.05,0.000976562,10320,2669.38,4213.71,10,56
0.02,0.000488281,22616,1176.97,1857.18,11,58
0.002,0.000488281,180312,69.6779,112.006,12,56
0.05,0.000488281,11352,2559.51,4041.45,13,60
0.02,0.000244141,24672,1167.08,1840.97,12,63
0.002,0.000244141,196704,78.8431,123.814,11,63
0.05,0.000244141,12384,2540.44,4011.9,12,64
0.02,0.00012207,26728,866.404,1395.4,11,68
0.002,0.00012207,213096,70.104,110.938,17,74
0.05,0.00012207,13416,2594.85,4096.24,12,107
0.02,6.10352e-05,28784,1139.72,1798.53,14,112
0.002,6.10352e-05,229488,65.0954,104.053,13,71
0.05,6.10352e-05,14448,2433.64,3845.09,13,75
0.02,3.05176e-05,30840,1132.54,1786.9,13,76
0.002,3.05176e-05,245880,74.3831,116.974,18,86
0.05,3.05176e-05,15480,2544.52,4017.69,13,79
0.02,1.52588e-05,32896,1132.54,1786.73,14,77
0.002,1.52588e-05,262272,74.8282,117.567,14,78
0.05,1.52588e-05,16512,2561.8,4044.1,13,78
0.02,7.62939e-06,34952,1101.47,1738.43,15,84
0.002,7.62939e-06,278664,71.9222,112.957,19,149
0.05,7.62939e-06,17544,2547.37,4021.39,17,101
0.02,3.8147e-06,37008,1112.86,1755.81,15,99
0.002,3.8147e-06,295056,73.4014,115.351,16,95
0.05,3.8147e-06,18576,2562.5,4044.33,17,98
0.02,1.90735e-06,39064,1105.2,1744.45,15,130
0.002,1.90735e-06,311448,67.7471,107.779,22,100
0.05,1.90735e-06,19608,2528.92,3991.89,17,116
0.02,0.25,4112,1300.22,2078.75,4,28
0.002,0.25,32784,141.715,221.543,3,18
0.05,0.25,2064,3139.1,4955.02,5,17
0.02,0.125,6168,1391.38,2195.75,6,22
0.002,0.125,49176,118.617,185.95,5,22
0.05,0.125,3096,2982.78,4709.28,6,22
0.02,0.0625,8224,1330.2,2098.89,6,24
0.002,0.0625,65568,105.853,166.033,5,28
0.05,0.0625,4128,2869.41,4526.63,5,26
0.02,0.03125,10280,1286.74,2030.66,6,32
0.002,0.03125,81960,95.4788,150.278,6,30
0.05,0.03125,5160,2762.56,4362.14,5,32
0.02,0.015625,12336,1272.14,2005.8,6,38
0.002,0.015625,98352,78.2941,127.754,10,38
0.05,0.015625,6192,2776.14,4384.43,7,34
0.02,0.0078125,14392,1218.82,1923.54,6,40
0.002,0.0078125,114744,73.5357,119.032,6,39
0.05,0.0078125,7224,2749.58,4339.97,7,40
0.02,0.00390625,16448,901.066,1458.52,7,44
0.002,0.00390625,131136,88.6989,139.083,10,50
0.05,0.00390625,8256,2637.29,4162.65,8,49
0.02,0.00195312,18504,1212.33,1912.56,9,50
0.002,0.00195312,147528,70.0794,112.837,10,52
0.05,0.00195312,9288,2572.15,4059.93,9,58
0.02,0.000976562,20560,1075.76,1701.88,11,58
0.002,0.000976562,163920,81.9905,128.966,11,54
0.05,0.000976562,10320,2639.24,4165.62,11,54
0.02,0.000488281,22616,1120.42,1769.62,11,57
0.002,0.000488281,180312,73.8362,116.628,11,60
0.05,0.000488281,11352,2605.5,4113.49,11,58
0.02,0.000244141,24672,1027.71,1627.81,12,65
0.002,0.000244141,196704,72.5114,115.283,12,68
0.05,0.000244141,12384,2571.85,4059.87,11,63
0.02,0.00012207,26728,956.651,1523.49,11,67
0.002,0.00012207,213096,73.0759,115.798,13,69
0.05,0.00012207,13416,2581.94,4076.49,12,66
0.02,6.10352e-05,28784,927.91,1477.27,12,69
0.002,6.10352e-05,229488,74.3996,117.113,14,72
0.05,6.10352e-05,14448,2548.61,4024.29,13,74
0.02,3.05176e-05,30840,1130.55,1784.22,15,77
0.002,3.05176e-05,245880,66.4286,106.478,15,78
0.05,3.05176e-05,15480,2339.16,3700.51,14,74
0.02,1.52588e-05,32896,1123.04,1771.88,17,83
0.002,1.52588e-05,262272,72.3538,113.82,15,84
0.05,1.52588e-05,16512,2457.59,3880.18,14,84
0.02,7.62939e-06,34952,1107.14,1746.9,16,90
0.002,7.62939e-06,278664,65.1651,103.17,16,89
0.05,7.62939e-06,17544,2529.9,3992.83,18,87
0.02,3.8147e-06,37008,1112.24,1755.27,16,93
0.002,3.8147e-06,295056,69.4941,109.521,17,97
0.05,3.8147e-06,18576,2524.71,3984.86,16,92
0.02,1.90735e-06,39064,1067.78,1686.18,16,95
0.002,1.90735e-06,311448,68.0955,107.832,18,101
0.05,1.90735e-06,19608,2492.21,3934.54,17,93
0.02,0.25,4112,1499.24,2365.1,4,18
0.002,0.25,32784,132.961,209.973,4,18
0.05,0.25,2064,3195.38,5043.61,4,18
0.02,0.125,6168,1399.87,2207.91,5,23
0.002,0.125,49176,116.821,183.653,5,23
0.05,0.125,3096,3013.65,4756.33,7,24
0.02,0.0625,8224,1323.27,2088.36,5,27
0.002,0.0625,65568,106.287,166.777,5,34
0.05,0.0625,4128,2872.75,4535.41,5,27
0.02,0.03125,10280,1290.6,2036.3,7,31
0.002,0.03125,81960,99.0537,155.667,6,34
0.05,0.03125,5160,2848.93,4496.94,7,35
0.02,0.015625,12336,1253.93,1978.48,8,42
0.002,0.015625,98352,81.815,129.521,7,42
0.05,0.015625,6192,2732.39,4313.33,6,38
0.02,0.0078125,14392,1193.62,1884.42,8,43
0.002,0.0078125,114744,90.4617,141.899,8,45
0.05,0.0078125,7224,2308.31,3680.25,8,43
0.02,0.00390625,16448,1209.48,1908.34,8,48
0.002,0.00390625,131136,84.708,133.231,9,52
0.05,0.00390625,8256,2685.37,4238.99,8,46
0.02,0.00195312,18504,1165.64,1840.85,11,54
