epsilon,delta,memory,averageError,queryTime,updateTime,threshold
6.71387e-05,0.03125,2673000,0.0296646,42,1092,1e-05
3.35693e-05,0.03125,5242920,0,48,621,0.1
3.35693e-05,0.03125,5242968,0.055901,39,621,0.01
3.35693e-05,0.03125,5243896,0,52,784,0.001
3.35693e-05,0.03125,5269848,0.00128868,51,963,0.0001
3.35693e-05,0.03125,5294440,0,58,1057,1e-05
1.67847e-05,0.03125,10485800,0,45,713,0.1
1.67847e-05,0.03125,10485848,0,45,722,0.01
1.67847e-05,0.03125,10486776,0,46,686,0.001
1.67847e-05,0.03125,10512728,0,66,869,0.0001
1.67847e-05,0.03125,10537320,0,57,977,1e-05
8.39233e-06,0.03125,20971560,0,67,766,0.1
8.39233e-06,0.03125,20971608,0,56,931,0.01
8.39233e-06,0.03125,20972536,0,56,789,0.001
8.39233e-06,0.03125,20998488,0,62,992,0.0001
8.39233e-06,0.03125,21023080,0,49,923,1e-05
4.19617e-06,0.03125,41943080,0,54,843,0.1
4.19617e-06,0.03125,41943128,0,53,717,0.01
4.19617e-06,0.03125,41944056,0,52,621,0.001
4.19617e-06,0.03125,41970008,0,51,820,0.0001
4.19617e-06,0.03125,41994600,0,62,791,1e-05
2.09808e-06,0.03125,83886120,0,51,593,0.1
2.09808e-06,0.03125,83886168,0,45,625,0.01
2.09808e-06,0.03125,83887096,0,52,614,0.001
2.09808e-06,0.03125,83913048,0,64,835,0.0001
2.09808e-06,0.03125,83937640,0,59,1041,1e-05
0.275,0.125,408,42527.9,34,642,0.1
0.275,0.125,456,42188.6,39,531,0.01
0.275,0.125,1384,38142.5,36,565,0.001
0.275,0.125,27336,23008.3,40,869,0.0001
0.275,0.125,51928,20016.6,38,829,1e-05
0.1375,0.125,792,20677.7,41,677,0.1
0.1375,0.125,840,20435.3,41,697,0.01
0.1375,0.125,1768,18632.9,49,745,0.001
0.1375,0.125,27720,11397.5,36,855,0.0001
0.1375,0.125,52312,9867.14,38,860,1e-05
0.06875,0.125,1560,9916.77,43,534,0.1
0.06875,0.125,1608,9611.74,38,769,0.01
0.06875,0.125,2536,9058.7,51,1021,0.001
0.06875,0.125,28488,5562.74,44,1000,0.0001
0.06875,0.125,53080,4833.01,35,1156,1e-05
0.034375,0.125,3096,4595.31,39,605,0.1
0.034375,0.125,3144,4624.52,39,691,0.01
0.034375,0.125,4072,4343.26,38,771,0.001
0.034375,0.125,30024,2724.34,37,890,0.0001
0.034375,0.125,54616,2356.71,39,850,1e-05
0.0171875,0.125,6168,2158.95,40,600,0.1
0.0171875,0.125,6216,2118.35,37,552,0.01
0.0171875,0.125,7144,2026.46,34,596,0.001
0.0171875,0.125,33096,1311.07,39,823,0.0001
0.0171875,0.125,57688,1131.62,39,937,1e-05
0.00859375,0.125,12312,971.561,36,716,0.1
0.00859375,0.125,12360,968.999,40,946,0.01
0.00859375,0.125,13288,931.531,52,1093,0.001
0.00859375,0.125,39240,623.074,40,951,0.0001
0.00859375,0.125,63832,536.121,37,885,1e-05
0.00429688,0.125,24600,422.808,38,554,0.1
0.00429688,0.125,24648,423.672,37,604,0.01
0.00429688,0.125,25576,410.733,36,603,0.001
0.00429688,0.125,51528,286.879,39,782,0.0001
0.00429688,0.125,76120,248.062,41,805,1e-05
0.00214844,0.125,49176,176.248,38,590,0.1
0.00214844,0.125,49224,189.561,36,595,0.01
0.00214844,0.125,50152,174.005,35,584,0.001
0.00214844,0.125,76104,127.578,35,713,0.0001
0.00214844,0.125,100696,111.27,43,758,1e-05
0.00107422,0.125,98328,69.3241,34,528,0.1
0.00107422,0.125,98376,69.5244,34,536,0.01
0.00107422,0.125,99304,68.6332,36,570,0.001
0.00107422,0.125,125256,53.4167,34,711,0.0001
0.00107422,0.125,149848,47.3696,34,754,1e-05
0.000537109,0.125,196632,25.3457,34,539,0.1
0.000537109,0.125,196680,30.5772,33,544,0.01
0.000537109,0.125,197608,24.9255,34,564,0.001
0.000537109,0.125,223560,29.0965,37,706,0.0001
0.000537109,0.125,248152,18.2876,40,844,1e-05
0.000268555,0.125,393240,8.82401,37,555,0.1
0.000268555,0.125,393288,8.08899,35,553,0.01
0.000268555,0.125,394216,7.99346,48,638,0.001
0.000268555,0.125,420168,7.58625,43,777,0.0001
0.000268555,0.125,444760,6.30193,35,823,1e-05
0.000134277,0.125,786456,1.98153,36,574,0.1
0.000134277,0.125,786504,2.02675,41,590,0.01
0.000134277,0.125,787432,2.96145,35,607,0.001
0.000134277,0.125,813384,3.10831,36,857,0.0001
0.000134277,0.125,837976,1.89677,45,758,1e-05
6.71387e-05,0.125,1572888,0.169217,36,561,0.1
6.71387e-05,0.125,1572936,0.765536,36,557,0.01
6.71387e-05,0.125,1573864,0.750585,43,664,0.001
6.71387e-05,0.125,1599816,0.356325,34,814,0.0001
6.71387e-05,0.125,1624408,0.161009,40,833,1e-05
3.35693e-05,0.125,3145752,0,36,577,0.1
3.35693e-05,0.125,3145800,0,37,580,0.01
3.35693e-05,0.125,3146728,0,37,625,0.001
3.35693e-05,0.125,3172680,0,38,895,0.0001
3.35693e-05,0.125,3197272,0.000462922,37,798,1e-05
1.67847e-05,0.125,6291480,0,37,554,0.1
1.67847e-05,0.125,6291528,0,40,609,0.01
1.67847e-05,0.125,6292456,0.0127491,37,638,0.001
1.67847e-05,0.125,6318408,0,48,823,0.0001
1.67847e-05,0.125,6343000,0,38,784,1e-05
8.39233e-06,0.125,12582936,0,43,581,0.1
8.39233e-06,0.125,12582984,0,44,584,0.01
8.39233e-06,0.125,12583912,0,46,615,0.001
8.39233e-06,0.125,12609864,0,44,774,0.0001
8.39233e-06,0.125,12634456,0,47,821,1e-05
4.19617e-06,0.125,25165848,0,47,661,0.1
4.19617e-06,0.125,25165896,0,44,564,0.01
4.19617e-06,0.125,25166824,0,46,587,0.001
4.19617e-06,0.125,25192776,0,47,729,0.0001
4.19617e-06,0.125,25217368,0,45,781,1e-05
2.09808e-06,0.125,50331672,0,49,559,0.1
2.09808e-06,0.125,50331720,0,47,557,0.01
2.09808e-06,0.125,50332648,0,48,602,0.001
2.09808e-06,0.125,50358600,0,48,794,0.0001
2.09808e-06,0.125,50383192,0,49,758,1e-05
0.275,1e-05,2312,39847.3,45,591,0.1
0.275,1e-05,2360,38923.9,43,640,0.01
0.275,1e-05,3288,36363.1,52,692,0.001
0.275,1e-05,29240,22384.5,48,770,0.0001
0.275,1e-05,53832,19270.4,44,789,1e-05
0.1375,1e-05,4488,18775.6,43,638,0.1
0.1375,1e-05,4536,18336.5,44,641,0.01
0.1375,1e-05,5464,17277.2,47,630,0.001
0.1375,1e-05,31416,10832.6,44,846,0.0001
0.1375,1e-05,56008,9441.95,45,782,1e-05
0.06875,1e-05,8840,8557.81,44,633,0.1
0.06875,1e-05,8888,8557.55,43,638,0.01
0.06875,1e-05,9816,8190.04,48,689,0.001
0.06875,1e-05,35768,5232,43,745,0.0001
0.06875,1e-05,60360,4550.64,44,785,1e-05
0.034375,1e-05,17544,3900.51,47,605,0.1
0.034375,1e-05,17592,3869.72,46,615,0.01
0.034375,1e-05,18520,3726.14,45,679,0.001
0.034375,1e-05,44472,2486.19,53,819,0.0001
0.034375,1e-05,69064,2153.46,45,839,1e-05
0.0171875,1e-05,34952,1682.76,46,643,0.1
0.0171875,1e-05,35000,1699.6,46,614,0.01
0.0171875,1e-05,35928,1638.34,49,655,0.001
0.0171875,1e-05,61880,1155.58,44,757,0.0001
0.0171875,1e-05,86472,1001.82,46,895,1e-05
0.00859375,1e-05,69768,710.333,43,612,0.1
0.00859375,1e-05,69816,709.112,45,606,0.01
0.00859375,1e-05,70744,704.855,46,631,0.001
0.00859375,1e-05,96696,514.54,45,860,0.0001
0.00859375,1e-05,121288,445.923,44,850,1e-05
0.00429688,1e-05,139400,280.721,52,627,0.1
0.00429688,1e-05,139448,282.078,47,625,0.01
