epsilon,delta,memory,averageError,queryTime,updateTime,threshold
0.1375,0.002,2424,18927.5,39,570,0.01
0.1375,0.002,2488,18724.2,37,574,0.005
0.1375,0.002,3352,17851.7,39,595,0.001
0.1375,0.002,5576,16150.9,38,625,0.0005
0.1375,0.002,29304,11042.9,38,738,0.0001
0.1375,0.002,41944,10150.8,39,760,5e-05
0.1375,0.002,53896,9566.79,39,790,1e-05
0.06875,0.002,4680,8862.95,38,567,0.1
0.06875,0.002,4728,8950.36,40,577,0.01
0.06875,0.002,4792,8882.38,41,601,0.005
0.06875,0.002,5656,8429.83,40,622,0.001
0.06875,0.002,7880,7705.89,39,652,0.0005
0.06875,0.002,31608,5330.02,40,757,0.0001
0.06875,0.002,44248,4892.78,47,807,5e-05
0.06875,0.002,56200,4585.33,42,799,1e-05
0.034375,0.002,9288,4089.85,41,608,0.1
0.034375,0.002,9336,4093.47,42,589,0.01
0.034375,0.002,9400,4090.24,40,596,0.005
0.034375,0.002,10264,3927.18,38,599,0.001
0.034375,0.002,12488,3621.56,40,637,0.0005
0.034375,0.002,36216,2551.44,39,753,0.0001
0.034375,0.002,48856,2347.15,43,794,5e-05
0.034375,0.002,60808,2230.56,40,784,1e-05
0.0171875,0.002,18504,1817.2,40,579,0.1
0.0171875,0.002,18552,1825.15,39,641,0.01
0.0171875,0.002,18616,1805.29,49,651,0.005
0.0171875,0.002,19480,1760.4,38,652,0.001
0.0171875,0.002,21704,1663.07,39,638,0.0005
0.0171875,0.002,45432,1187.79,40,762,0.0001
0.0171875,0.002,58072,1110.62,42,838,5e-05
0.0171875,0.002,70024,1021.36,42,822,1e-05
0.00859375,0.002,36936,779.346,41,634,0.1
0.00859375,0.002,36984,791.291,41,635,0.01
0.00859375,0.002,37048,780.41,43,622,0.005
0.00859375,0.002,37912,764.919,42,640,0.001
0.00859375,0.002,40136,731.126,39,652,0.0005
0.00859375,0.002,63864,548.726,41,849,0.0001
0.00859375,0.002,76504,504.779,40,779,5e-05
0.00859375,0.002,88456,478.582,40,814,1e-05
0.00429688,0.002,73800,315.959,47,626,0.1
0.00429688,0.002,73848,322.015,43,597,0.01
0.00429688,0.002,73912,319.725,42,656,0.005
0.00429688,0.002,74776,316.375,46,682,0.001
0.00429688,0.002,77000,307.339,42,658,0.0005
0.00429688,0.002,100728,237.678,42,804,0.0001
0.00429688,0.002,113368,223.412,46,797,5e-05
0.00429688,0.002,125320,210.512,43,776,1e-05
0.00214844,0.002,147528,125.18,44,619,0.1
0.00214844,0.002,147576,125.213,40,630,0.01
0.00214844,0.002,147640,125.609,48,634,0.005
0.00214844,0.002,148504,123.764,43,697,0.001
